No,PREGUNTA ,N° Respuesta,Respuesta,Es correcto,Cargo,Temas,Familia ,Fecha,CARGO 2,CANAL
5,"Pregunta de opción múltiple con única respuesta: Una empresa con varios canales de atención al cliente como WhatsApp, correo electrónico, chat web, redes sociales y llamadas telefónicas, enfrenta un problema recurrente: cada vez que un cliente cambia de canal, debe repetir toda su historia desde cero. Esto genera frustración, pérdida de tiempo y una experiencia negativa que afecta la fidelización. Además, los agentes no tienen visibilidad del historial del cliente, lo que dificulta ofrecer soluciones rápidas y personalizadas. ¿Qué solución representa una buena experiencia omnicanal?",1.0,Integrar los canales en una plataforma que permita continuidad y personalización. ,VERDADERO,Corporativo,CoE Claro CX + Webex Contact Center (CX y Omnicanalidad),Servicios administrados,,Corporativo,Corporativo
5,"Pregunta de opción múltiple con única respuesta: Una empresa con varios canales de atención al cliente como WhatsApp, correo electrónico, chat web, redes sociales y llamadas telefónicas, enfrenta un problema recurrente: cada vez que un cliente cambia de canal, debe repetir toda su historia desde cero. Esto genera frustración, pérdida de tiempo y una experiencia negativa que afecta la fidelización. Además, los agentes no tienen visibilidad del historial del cliente, lo que dificulta ofrecer soluciones rápidas y personalizadas. ¿Qué solución representa una buena experiencia omnicanal?",2.0,Asignar un agente exclusivo por cliente para cada canal.,FALSO,Corporativo,CoE Claro CX + Webex Contact Center (CX y Omnicanalidad),Servicios administrados,,Corporativo,Corporativo
5,"Pregunta de opción múltiple con única respuesta: Una empresa con varios canales de atención al cliente como WhatsApp, correo electrónico, chat web, redes sociales y llamadas telefónicas, enfrenta un problema recurrente: cada vez que un cliente cambia de canal, debe repetir toda su historia desde cero. Esto genera frustración, pérdida de tiempo y una experiencia negativa que afecta la fidelización. Además, los agentes no tienen visibilidad del historial del cliente, lo que dificulta ofrecer soluciones rápidas y personalizadas. ¿Qué solución representa una buena experiencia omnicanal?",3.0,Crear un formulario único para todos los canales.,FALSO,Corporativo,CoE Claro CX + Webex Contact Center (CX y Omnicanalidad),Servicios administrados,,Corporativo,Corporativo
6,"Pregunta de opción múltiple con única respuesta: Una empresa del sector servicios ha identificado que sus agentes de atención al cliente tienen una baja ocupación durante gran parte de la jornada laboral. lo que representa un uso ineficiente de los recursos humanos y tecnológicos. Esta situación no solo incrementa los costos operativos, sino que también limita la capacidad de respuesta ante picos de demanda. Para mejorar la eficiencia, se requiere una estrategia que permita optimizar el tiempo de los agentes. ¿Qué estrategia puede mejorar la eficiencia? ",1.0,Reducir el horario de atención para concentrar llamadas.,FALSO,Corporativo,CoE Claro CX + Webex Contact Center (CX y Omnicanalidad),Servicios administrados,,Corporativo,Corporativo
6,"Pregunta de opción múltiple con única respuesta: Una empresa del sector servicios ha identificado que sus agentes de atención al cliente tienen una baja ocupación durante gran parte de la jornada laboral. lo que representa un uso ineficiente de los recursos humanos y tecnológicos. Esta situación no solo incrementa los costos operativos, sino que también limita la capacidad de respuesta ante picos de demanda. Para mejorar la eficiencia, se requiere una estrategia que permita optimizar el tiempo de los agentes. ¿Qué estrategia puede mejorar la eficiencia? ",2.0,Implementar marcación automática y gestión proactiva.,VERDADERO,Corporativo,CoE Claro CX + Webex Contact Center (CX y Omnicanalidad),Servicios administrados,,Corporativo,Corporativo
6,"Pregunta de opción múltiple con única respuesta: Una empresa del sector servicios ha identificado que sus agentes de atención al cliente tienen una baja ocupación durante gran parte de la jornada laboral. lo que representa un uso ineficiente de los recursos humanos y tecnológicos. Esta situación no solo incrementa los costos operativos, sino que también limita la capacidad de respuesta ante picos de demanda. Para mejorar la eficiencia, se requiere una estrategia que permita optimizar el tiempo de los agentes. ¿Qué estrategia puede mejorar la eficiencia? ",3.0,Eliminar el canal de chat para evitar distracciones.,FALSO,Corporativo,CoE Claro CX + Webex Contact Center (CX y Omnicanalidad),Servicios administrados,,Corporativo,Corporativo
7,"Pregunta de opción múltiple con única respuesta: Una empresa de servicios financieros ha implementado diversas herramientas para la atención al cliente, como CRM, chat web, correo electrónico, WhatsApp y redes sociales. Sin embargo, estas herramientas funcionan de forma aislada, lo que impide tener una visión unificada del cliente. Los agentes deben cambiar de plataforma constantemente, lo que genera duplicidad de esfuerzos, pérdida de trazabilidad y una experiencia fragmentada para el usuario. Esta falta de integración también dificulta la toma de decisiones estratégicas basadas en datos ¿Qué solución permite mejorar visibilidad y fidelización?",1.0,Migrar todos los canales a una sola red social.,FALSO,Corporativo,CoE Claro CX + Webex Contact Center (CX y Omnicanalidad),Servicios administrados,,Corporativo,Corporativo
7,"Pregunta de opción múltiple con única respuesta: Una empresa de servicios financieros ha implementado diversas herramientas para la atención al cliente, como CRM, chat web, correo electrónico, WhatsApp y redes sociales. Sin embargo, estas herramientas funcionan de forma aislada, lo que impide tener una visión unificada del cliente. Los agentes deben cambiar de plataforma constantemente, lo que genera duplicidad de esfuerzos, pérdida de trazabilidad y una experiencia fragmentada para el usuario. Esta falta de integración también dificulta la toma de decisiones estratégicas basadas en datos ¿Qué solución permite mejorar visibilidad y fidelización?",2.0,Integrar los sistemas en una plataforma omnicanal con gestión centralizada.,VERDADERO,Corporativo,CoE Claro CX + Webex Contact Center (CX y Omnicanalidad),Servicios administrados,,Corporativo,Corporativo
7,"Pregunta de opción múltiple con única respuesta: Una empresa de servicios financieros ha implementado diversas herramientas para la atención al cliente, como CRM, chat web, correo electrónico, WhatsApp y redes sociales. Sin embargo, estas herramientas funcionan de forma aislada, lo que impide tener una visión unificada del cliente. Los agentes deben cambiar de plataforma constantemente, lo que genera duplicidad de esfuerzos, pérdida de trazabilidad y una experiencia fragmentada para el usuario. Esta falta de integración también dificulta la toma de decisiones estratégicas basadas en datos ¿Qué solución permite mejorar visibilidad y fidelización?",3.0,Capacitar a los agentes para usar cada herramienta por separado.,FALSO,Corporativo,CoE Claro CX + Webex Contact Center (CX y Omnicanalidad),Servicios administrados,,Corporativo,Corporativo
8,"Pregunta de opción múltiple con única respuesta: Una empresa con equipos comerciales distribuidos enfrenta dificultades para coordinar sus procesos de ventas. La falta de visibilidad compartida sobre clientes, oportunidades y seguimiento genera duplicidad de esfuerzos y pérdida de negocios. Se requiere una solución que centralice la información y facilite la colaboración entre áreas.. ¿Qué solución de Salesforce puede ayudar?",1.0,Usar hojas de cálculo compartidas para seguimiento.,FALSO,Corporativo,"SF + WAF  (CRM, Marketing, Seguridad)",SEGURIDAD,,Corporativo,Corporativo
8,"Pregunta de opción múltiple con única respuesta: Una empresa con equipos comerciales distribuidos enfrenta dificultades para coordinar sus procesos de ventas. La falta de visibilidad compartida sobre clientes, oportunidades y seguimiento genera duplicidad de esfuerzos y pérdida de negocios. Se requiere una solución que centralice la información y facilite la colaboración entre áreas.. ¿Qué solución de Salesforce puede ayudar?",2.0,Contratar un equipo externo para revisar los procesos manualmente.,FALSO,Corporativo,"SF + WAF  (CRM, Marketing, Seguridad)",SEGURIDAD,,Corporativo,Corporativo
8,"Pregunta de opción múltiple con única respuesta: Una empresa con equipos comerciales distribuidos enfrenta dificultades para coordinar sus procesos de ventas. La falta de visibilidad compartida sobre clientes, oportunidades y seguimiento genera duplicidad de esfuerzos y pérdida de negocios. Se requiere una solución que centralice la información y facilite la colaboración entre áreas.. ¿Qué solución de Salesforce puede ayudar?",3.0,Implementar Sales Cloud con gestión de leads y oportunidades. ,VERDADERO,Corporativo,"SF + WAF  (CRM, Marketing, Seguridad)",SEGURIDAD,,Corporativo,Corporativo
9,"Pregunta de opción múltiple con única respuesta: Una empresa busca mejorar la efectividad de sus campañas de marketing, ofreciendo contenido personalizado en tiempo real según el comportamiento del cliente. Las herramientas actuales no permiten segmentar ni automatizar de forma dinámica, lo que limita el impacto de las campañas y reduce el retorno de inversión.¿Qué herramienta es más adecuada?",1.0,Usar Marketing Cloud con IA y Journey Builder.,VERDADERO,Corporativo,"SF + WAF  (CRM, Marketing, Seguridad)",SEGURIDAD,,Corporativo,Corporativo
9,"Pregunta de opción múltiple con única respuesta: Una empresa busca mejorar la efectividad de sus campañas de marketing, ofreciendo contenido personalizado en tiempo real según el comportamiento del cliente. Las herramientas actuales no permiten segmentar ni automatizar de forma dinámica, lo que limita el impacto de las campañas y reduce el retorno de inversión.¿Qué herramienta es más adecuada?",2.0,Publicar anuncios genéricos en redes sociales.,FALSO,Corporativo,"SF + WAF  (CRM, Marketing, Seguridad)",SEGURIDAD,,Corporativo,Corporativo
9,"Pregunta de opción múltiple con única respuesta: Una empresa busca mejorar la efectividad de sus campañas de marketing, ofreciendo contenido personalizado en tiempo real según el comportamiento del cliente. Las herramientas actuales no permiten segmentar ni automatizar de forma dinámica, lo que limita el impacto de las campañas y reduce el retorno de inversión.¿Qué herramienta es más adecuada?",3.0,Enviar correos masivos sin segmentación.,FALSO,Corporativo,"SF + WAF  (CRM, Marketing, Seguridad)",SEGURIDAD,,Corporativo,Corporativo
10,"Pregunta de opción múltiple con única respuesta: Una empresa atiende a sus clientes por múltiples canales como correo, chat, redes sociales y teléfono. Sin embargo, no logra centralizar los casos, lo que genera duplicidad de esfuerzos y pérdida de trazabilidad. Se necesita una solución que unifique la gestión y mejore la eficiencia operativa. ¿Qué solución de Salesforce es ideal?",1.0,Crear un grupo de WhatsApp para los agentes.,FALSO,Corporativo,"SF + WAF  (CRM, Marketing, Seguridad)",SEGURIDAD,,Corporativo,Corporativo
10,"Pregunta de opción múltiple con única respuesta: Una empresa atiende a sus clientes por múltiples canales como correo, chat, redes sociales y teléfono. Sin embargo, no logra centralizar los casos, lo que genera duplicidad de esfuerzos y pérdida de trazabilidad. Se necesita una solución que unifique la gestión y mejore la eficiencia operativa. ¿Qué solución de Salesforce es ideal?",2.0,Implementar Service Cloud con consola unificada y omnicanalidad.,VERDADERO,Corporativo,"SF + WAF  (CRM, Marketing, Seguridad)",SEGURIDAD,,Corporativo,Corporativo
10,"Pregunta de opción múltiple con única respuesta: Una empresa atiende a sus clientes por múltiples canales como correo, chat, redes sociales y teléfono. Sin embargo, no logra centralizar los casos, lo que genera duplicidad de esfuerzos y pérdida de trazabilidad. Se necesita una solución que unifique la gestión y mejore la eficiencia operativa. ¿Qué solución de Salesforce es ideal?",3.0,Usar correo electrónico como único canal de atención.,FALSO,Corporativo,"SF + WAF  (CRM, Marketing, Seguridad)",SEGURIDAD,,Corporativo,Corporativo
11,"Pregunta de opción múltiple con única respuesta: Una empresa desea conocer el nivel de satisfacción de sus clientes en cada punto de contacto, desde el primer saludo hasta la resolución del caso. Sin una herramienta integrada, esta medición es lenta y poco precisa. Se necesita una funcionalidad que permita capturar retroalimentación inmediata y automatizada. ¿Qué funcionalidad de Service Cloud lo permite?",1.0,Enviar encuestas por correo una vez al año.,FALSO,Corporativo,"SF + WAF  (CRM, Marketing, Seguridad)",SEGURIDAD,,Corporativo,Corporativo
11,"Pregunta de opción múltiple con única respuesta: Una empresa desea conocer el nivel de satisfacción de sus clientes en cada punto de contacto, desde el primer saludo hasta la resolución del caso. Sin una herramienta integrada, esta medición es lenta y poco precisa. Se necesita una funcionalidad que permita capturar retroalimentación inmediata y automatizada. ¿Qué funcionalidad de Service Cloud lo permite?",2.0,Realizar entrevistas telefónicas aleatorias.,FALSO,Corporativo,"SF + WAF  (CRM, Marketing, Seguridad)",SEGURIDAD,,Corporativo,Corporativo
11,"Pregunta de opción múltiple con única respuesta: Una empresa desea conocer el nivel de satisfacción de sus clientes en cada punto de contacto, desde el primer saludo hasta la resolución del caso. Sin una herramienta integrada, esta medición es lenta y poco precisa. Se necesita una funcionalidad que permita capturar retroalimentación inmediata y automatizada. ¿Qué funcionalidad de Service Cloud lo permite?",3.0,Usar CSAT integrado en cada punto de contacto. ,VERDADERO,Corporativo,"SF + WAF  (CRM, Marketing, Seguridad)",SEGURIDAD,,Corporativo,Corporativo
12,Pregunta de opción múltiple con única respuesta: Una empresa tiene su página web en Triara y quiere protegerla contra ataques XSS. ¿Qué solución es más adecuada?,1.0,Implementar un WAF centralizado que analice tráfico a nivel de aplicación.,VERDADERO,Corporativo,"SF + WAF  (CRM, Marketing, Seguridad)",SEGURIDAD,,Corporativo,Corporativo
12,Pregunta de opción múltiple con única respuesta: Una empresa tiene su página web en Triara y quiere protegerla contra ataques XSS. ¿Qué solución es más adecuada?,2.0,Usar antivirus en los computadores del equipo de TI.,FALSO,Corporativo,"SF + WAF  (CRM, Marketing, Seguridad)",SEGURIDAD,,Corporativo,Corporativo
12,Pregunta de opción múltiple con única respuesta: Una empresa tiene su página web en Triara y quiere protegerla contra ataques XSS. ¿Qué solución es más adecuada?,3.0,Bloquear el acceso a la web desde IPs extranjeras.,FALSO,Corporativo,"SF + WAF  (CRM, Marketing, Seguridad)",SEGURIDAD,,Corporativo,Corporativo
13,"Pregunta de opción múltiple con única respuesta: Una empresa en crecimiento necesita escalar su infraestructura tecnológica para soportar más usuarios, procesos y datos. Sin embargo, al hacerlo, pierde visibilidad sobre el rendimiento de sus sistemas y control sobre la experiencia del cliente. Se requiere una solución que permita escalar sin comprometer la supervisión operativa.¿Qué solución de Salesforce puede ayudar?",1.0,Usar múltiples CRMs independientes por área.,FALSO,Corporativo,"SF + WAF  (CRM, Marketing, Seguridad)",SEGURIDAD,,Corporativo,Corporativo
13,"Pregunta de opción múltiple con única respuesta: Una empresa en crecimiento necesita escalar su infraestructura tecnológica para soportar más usuarios, procesos y datos. Sin embargo, al hacerlo, pierde visibilidad sobre el rendimiento de sus sistemas y control sobre la experiencia del cliente. Se requiere una solución que permita escalar sin comprometer la supervisión operativa.¿Qué solución de Salesforce puede ayudar?",2.0,Integrar todos los módulos en Customer 360. ,VERDADERO,Corporativo,"SF + WAF  (CRM, Marketing, Seguridad)",SEGURIDAD,,Corporativo,Corporativo
13,"Pregunta de opción múltiple con única respuesta: Una empresa en crecimiento necesita escalar su infraestructura tecnológica para soportar más usuarios, procesos y datos. Sin embargo, al hacerlo, pierde visibilidad sobre el rendimiento de sus sistemas y control sobre la experiencia del cliente. Se requiere una solución que permita escalar sin comprometer la supervisión operativa.¿Qué solución de Salesforce puede ayudar?",3.0,Migrar todo a una red social empresarial.,FALSO,Corporativo,"SF + WAF  (CRM, Marketing, Seguridad)",SEGURIDAD,,Corporativo,Corporativo
14,Pregunta de opción múltiple con única respuesta: Una empresa enfrenta demoras en sus procesos de venta debido a validaciones manuales que requieren múltiples aprobaciones y firmas físicas. Esto retrasa la implementación de servicios y afecta la experiencia del cliente. Se necesita una herramienta que automatice la validación y permita avanzar rápidamente en el ciclo comercial.. ¿Qué herramienta puede acelerar la implementación?,1.0,Usar formularios físicos para cada cliente.,FALSO,Corporativo,"SF + WAF  (CRM, Marketing, Seguridad)",SEGURIDAD,,Corporativo,Corporativo
14,Pregunta de opción múltiple con única respuesta: Una empresa enfrenta demoras en sus procesos de venta debido a validaciones manuales que requieren múltiples aprobaciones y firmas físicas. Esto retrasa la implementación de servicios y afecta la experiencia del cliente. Se necesita una herramienta que automatice la validación y permita avanzar rápidamente en el ciclo comercial.. ¿Qué herramienta puede acelerar la implementación?,2.0,Automatizar con Onyx y Docusign para validaciones y firma digital.,VERDADERO,Corporativo,"SF + WAF  (CRM, Marketing, Seguridad)",SEGURIDAD,,Corporativo,Corporativo
14,Pregunta de opción múltiple con única respuesta: Una empresa enfrenta demoras en sus procesos de venta debido a validaciones manuales que requieren múltiples aprobaciones y firmas físicas. Esto retrasa la implementación de servicios y afecta la experiencia del cliente. Se necesita una herramienta que automatice la validación y permita avanzar rápidamente en el ciclo comercial.. ¿Qué herramienta puede acelerar la implementación?,3.0,Solicitar que cada cliente firme presencialmente en la sede principal.,FALSO,Corporativo,"SF + WAF  (CRM, Marketing, Seguridad)",SEGURIDAD,,Corporativo,Corporativo
15,Pregunta de opción múltiple con única respuesta: Una cadena de restaurantes tiene 12 sucursales en Bogotá y problemas de conectividad en sus sistemas POS. ¿Qué solución SD-Branch es más adecuada?,1.0,Implementar SD-WAN con priorización de tráfico y gestión centralizada.,VERDADERO,Corporativo,"SD-Branch Cisco (Redes, Seguridad, Automatización)",SD ONE,,Corporativo,Corporativo
15,Pregunta de opción múltiple con única respuesta: Una cadena de restaurantes tiene 12 sucursales en Bogotá y problemas de conectividad en sus sistemas POS. ¿Qué solución SD-Branch es más adecuada?,2.0,Usar solo Wi-Fi público para reducir costos.,FALSO,Corporativo,"SD-Branch Cisco (Redes, Seguridad, Automatización)",SD ONE,,Corporativo,Corporativo
15,Pregunta de opción múltiple con única respuesta: Una cadena de restaurantes tiene 12 sucursales en Bogotá y problemas de conectividad en sus sistemas POS. ¿Qué solución SD-Branch es más adecuada?,3.0,Contratar un técnico por sucursal para revisar manualmente la red.,FALSO,Corporativo,"SD-Branch Cisco (Redes, Seguridad, Automatización)",SD ONE,,Corporativo,Corporativo
16,"Pregunta de opción múltiple con única respuesta: Una entidad financiera con más de 100 oficinas distribuidas en el país necesita reforzar la seguridad de sus cajeros automáticos. Actualmente, no cuenta con segmentación de red ni protección perimetral avanzada. Se requiere una solución que permita proteger el tráfico sensible y garantizar la integridad de las transacciones.. ¿Qué solución SD-Branch aplica?",1.0,Usar contraseñas compartidas entre sucursales.,FALSO,Corporativo,"SD-Branch Cisco (Redes, Seguridad, Automatización)",SD ONE,,Corporativo,Corporativo
16,"Pregunta de opción múltiple con única respuesta: Una entidad financiera con más de 100 oficinas distribuidas en el país necesita reforzar la seguridad de sus cajeros automáticos. Actualmente, no cuenta con segmentación de red ni protección perimetral avanzada. Se requiere una solución que permita proteger el tráfico sensible y garantizar la integridad de las transacciones.. ¿Qué solución SD-Branch aplica?",2.0,Implementar NGFW con segmentación de red y VPN segura,VERDADERO,Corporativo,"SD-Branch Cisco (Redes, Seguridad, Automatización)",SD ONE,,Corporativo,Corporativo
16,"Pregunta de opción múltiple con única respuesta: Una entidad financiera con más de 100 oficinas distribuidas en el país necesita reforzar la seguridad de sus cajeros automáticos. Actualmente, no cuenta con segmentación de red ni protección perimetral avanzada. Se requiere una solución que permita proteger el tráfico sensible y garantizar la integridad de las transacciones.. ¿Qué solución SD-Branch aplica?",3.0,Desconectar los cajeros de la red para evitar ataques.,FALSO,Corporativo,"SD-Branch Cisco (Redes, Seguridad, Automatización)",SD ONE,,Corporativo,Corporativo
17,Pregunta de opción múltiple con única respuesta: Una empresa manufacturera quiere integrar sus sistemas OT e IT sin afectar la producción. ¿Qué solución SD-Branch es más adecuada?,1.0,Implementar microsegmentación y QoS para tráfico crítico.,VERDADERO,Corporativo,"SD-Branch Cisco (Redes, Seguridad, Automatización)",SD ONE,,Corporativo,Corporativo
17,Pregunta de opción múltiple con única respuesta: Una empresa manufacturera quiere integrar sus sistemas OT e IT sin afectar la producción. ¿Qué solución SD-Branch es más adecuada?,2.0,Usar redes separadas sin comunicación entre ellas.,FALSO,Corporativo,"SD-Branch Cisco (Redes, Seguridad, Automatización)",SD ONE,,Corporativo,Corporativo
17,Pregunta de opción múltiple con única respuesta: Una empresa manufacturera quiere integrar sus sistemas OT e IT sin afectar la producción. ¿Qué solución SD-Branch es más adecuada?,3.0,Migrar todos los sistemas OT a la nube sin validación.,FALSO,Corporativo,"SD-Branch Cisco (Redes, Seguridad, Automatización)",SD ONE,,Corporativo,Corporativo
18,"Pregunta de opción múltiple con única respuesta: Una empresa en expansión necesita abrir nuevas sucursales en distintas ciudades, pero no cuenta con personal técnico en cada ubicación. Esto retrasa la implementación de servicios de red. Se requiere una funcionalidad que permita configurar dispositivos de forma remota, rápida y sin intervención local. ¿Qué funcionalidad de SD-Branch lo permite?",1.0,Enviar técnicos a cada sede para configurar manualmente.,FALSO,Corporativo,"SD-Branch Cisco (Redes, Seguridad, Automatización)",SD ONE,,Corporativo,Corporativo
18,"Pregunta de opción múltiple con única respuesta: Una empresa en expansión necesita abrir nuevas sucursales en distintas ciudades, pero no cuenta con personal técnico en cada ubicación. Esto retrasa la implementación de servicios de red. Se requiere una funcionalidad que permita configurar dispositivos de forma remota, rápida y sin intervención local. ¿Qué funcionalidad de SD-Branch lo permite?",2.0,Usar Zero-Touch Provisioning con gestión desde la nube.,VERDADERO,Corporativo,"SD-Branch Cisco (Redes, Seguridad, Automatización)",SD ONE,,Corporativo,Corporativo
18,"Pregunta de opción múltiple con única respuesta: Una empresa en expansión necesita abrir nuevas sucursales en distintas ciudades, pero no cuenta con personal técnico en cada ubicación. Esto retrasa la implementación de servicios de red. Se requiere una funcionalidad que permita configurar dispositivos de forma remota, rápida y sin intervención local. ¿Qué funcionalidad de SD-Branch lo permite?",3.0,Esperar a tener personal capacitado en cada ubicación.,FALSO,Corporativo,"SD-Branch Cisco (Redes, Seguridad, Automatización)",SD ONE,,Corporativo,Corporativo
19,"Pregunta de opción múltiple con única respuesta: Una empresa con múltiples sedes y enlaces WAN no cuenta con herramientas que le permitan monitorear el rendimiento de su red en tiempo real. Esto dificulta la identificación de cuellos de botella, fallas o tráfico no deseado. Se necesita una solución que brinde visibilidad centralizada y análisis inteligente. ¿Qué solución SD-Branch puede resolverlo?",1.0,Usar cámaras de seguridad para monitorear los equipos.,FALSO,Corporativo,"SD-Branch Cisco (Redes, Seguridad, Automatización)",SD ONE,,Corporativo,Corporativo
19,"Pregunta de opción múltiple con única respuesta: Una empresa con múltiples sedes y enlaces WAN no cuenta con herramientas que le permitan monitorear el rendimiento de su red en tiempo real. Esto dificulta la identificación de cuellos de botella, fallas o tráfico no deseado. Se necesita una solución que brinde visibilidad centralizada y análisis inteligente. ¿Qué solución SD-Branch puede resolverlo?",2.0,Implementar monitoreo centralizado con análisis inteligente,VERDADERO,Corporativo,"SD-Branch Cisco (Redes, Seguridad, Automatización)",SD ONE,,Corporativo,Corporativo
