Observable,Id_Observable,Nueva_Habilidad,Perfil,Rol
Conoce cuales son las principales características de las  ofertas del mes que debe impulsar y logra con facilidad buscar la información necesaria de las ofertas dentro de la plataforma oficial de la compañía (Conectados).,OBS_00025,GESTIÓN Y ORGANIZACIÓN,"CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK,COMERCIAL))",ASESOR
"Conoce el 100% de las metas integrales de su cargo, y de la Gerencia.",OBS_00026,HABILIDAD COMERCIAL,"CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS (EMPRESAS, NEGOCIOS))",CONSULTOR
"Conoce las fortalezas y debilidades de su solución para empresas u oferta comercial para Pyme, anticipando posibles objeciones y preparándose para argumentarlas.",OBS_00027,PENSAMIENTO ESTRATÉGICO,"CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS (EMPRESAS, NEGOCIOS))",CONSULTOR
Conoce las ventajas y beneficios del producto u oferta vs de la competencia y se las comenta al cliente de acuerdo a su necesidad.,OBS_00028,HABILIDAD COMERCIAL,"CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK,COMERCIAL))",ASESOR
"Conoce las ventajas y beneficios del producto u oferta, el vs de la competencia y se las comenta al cliente de acuerdo a su necesidad.",OBS_00028,HABILIDAD COMERCIAL,"CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK,COMERCIAL))",ASESOR
"Conoce las ventajas y beneficios del producto u oferta, vs el de la competencia y se las comenta al cliente de acuerdo a su necesidad.",OBS_00028,HABILIDAD COMERCIAL,"CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK,COMERCIAL))",ASESOR
"Conoce los aspectos diferenciales de la oferta comercial solución, compensando las objeciones presentadas por el cliente y llevando a negociaciones gana gana",OBS_00029,PENSAMIENTO ESTRATÉGICO,"CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS (EMPRESAS, NEGOCIOS))",CONSULTOR
Conoce sus resultados del día al cierre del turno y los compara con su meta diaria.,OBS_00030,HABILIDAD COMERCIAL,"CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK,COMERCIAL))",ASESOR
Consulta de forma ágil  la información de las políticas y procesos a realizar.,OBS_00031,GESTIÓN Y ORGANIZACIÓN,CONOCIMIENTOS (ASESOR VENTA Y SERVICIO UNIDAD MERCADO MASIVO (CAV)),ASESOR
Consulta de una forma ágil  la información de las políticas y procesos a realizar en la herramienta oficial de Claro Conectados.,OBS_00032,GESTIÓN Y ORGANIZACIÓN,"CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK,COMERCIAL))",ASESOR
"Consulta información externa (paginas de la competencia), como internas oficiales (Conectados) para conocer información que le permita fortalecer su argumentación y manejar la objeción",OBS_00033,HABILIDADES DIGITALES,"CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK,COMERCIAL))",ASESOR
"Consulta información externa (páginas de la competencia), como internas oficiales (Conectados) para conocer información que le permita fortalecer su argumentación y manejar la objeción",OBS_00033,HABILIDADES DIGITALES,"CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK,COMERCIAL))",ASESOR
"Consulta información externa (paginas de la competencia), como internas para conocer información que le permita fortalecer su argumentación y manejar la objeción.",OBS_00033,HABILIDADES DIGITALES,"CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK,COMERCIAL))",ASESOR
"Crear en conjunto con el aliado las  estrategias Operativa comerciales para asegurar la efectividad en sus metas diarias, basándose en indicadores específicos de rendimiento.",OBS_00034,APORTE DE VALOR,CONOCIMIENTOS (ESPECIALISTA COMERCIAL),ESPECIALISTA
"Cuando analiza su base de clientes y ante una baja cantidad de clientes o clientes difíciles de captar, regula su desmotivación por medio de alternativas que mejoren su gestión como: cambiar estrategia de abordaje, revisar otras bases o crear nuevas redes de contactos o referidos.",OBS_00035,GESTIÓN DE EMOCIONES,CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS),CONSULTOR
"Cuando analiza su base de clientes y ante una baja cantidad de clientes o clientes difíciles de captar, regula su desmotivación por medio de alternativas que mejoren su gestión como: cambiar estrategia de abordaje, revisar otras bases o crear nuevas redes de contactos o referidos. 
",,,,
""",""OBS_00035""",GESTIÓN DE EMOCIONES,CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS),CONSULTOR,
"Cuando un cliente muestra resistencia, el asesor realiza un intento adicional para abordar las inquietudes del cliente de manera respetuosa EJEMPLO: ¿Te gustaría que te explique más sobre cómo podrías beneficiarte de esta oferta?'. Si el cliente sigue sin interés, el asesor concluye cortésmente la conversación",OBS_00036,HABILIDAD COMERCIAL,"CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK,COMERCIAL))",ASESOR
"Cuando un cliente muestra resistencia, el asesor realiza un intento adicional para abordar las inquietudes del cliente de manera respetuosa EJEMPLO: ¿Te gustaría que te explique más sobre cómo podrías beneficiarte de esta oferta?'. Si el cliente sigue sin interés, el asesor concluye cortésmente la conversación
",,,,
""",""OBS_00036""",HABILIDAD COMERCIAL,"CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK,COMERCIAL))",ASESOR,
"Cuenta con un buen nivel de relacionamiento con las áreas de apoyo como : preventa- it- producto- inteligencia comercial , para el logro del resultado final . Se evidencia por el nivel de frecuencia de las reuniones con el equipo interno, # resolución de problemas en el proyecto.",OBS_00037,HABILIDAD COMERCIAL,CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS),CONSULTOR
Cuenta con una matriz de contactos de todas la áreas que le permite gestionar y dar celeridad a la implementación de la solución (es).,OBS_00038,HABILIDAD COMERCIAL,"CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS (EMPRESAS, NEGOCIOS))",CONSULTOR
"De forma proactiva consulta en sus herramientas (Conectados, CRM y pagina oficial de Claro) disponibles, el producto que ha marcado como interés él cliente o el proceso para ejecutar su solicitud, para adaptar su abordaje.",OBS_00039,HABILIDADES DIGITALES,CONOCIMIENTOS (ASESOR VENTA Y SERVICIO UNIDAD MERCADO MASIVO (CAV)),ASESOR
"De forma proactiva consulta en sus herramientas (Conectados, CRM y página oficial de Claro) disponibles, el producto que ha marcado como interés el cliente o el proceso para ejecutar su solicitud, para adaptar su abordaje.",OBS_00039,HABILIDADES DIGITALES,CONOCIMIENTOS (ASESOR VENTA Y SERVICIO UNIDAD MERCADO MASIVO (CAV)),ASESOR
"De forma proactiva consulta en sus herramientas oficiales disponibles de compañía (Conectados) o del BPO,  él producto o servicio que ha marcado como interés él cliente, para adaptar su abordaje.",OBS_00039,HABILIDADES DIGITALES,CONOCIMIENTOS (ASESOR VENTA Y SERVICIO UNIDAD MERCADO MASIVO (CAV)),ASESOR
"De forma proactiva consulta en sus herramientas oficiales disponibles de compañía (Conectados) o del BPO, el producto o servicio que ha marcado como interés el cliente, para adaptar su abordaje.",OBS_00039,HABILIDADES DIGITALES,CONOCIMIENTOS (ASESOR VENTA Y SERVICIO UNIDAD MERCADO MASIVO (CAV)),ASESOR
"De presentarse una oportunidad comercial durante el servicio, el asesor propone mínimo un servicio o adquisición de producto basado en las señales e indicaciones de las necesidades del cliente.",OBS_00040,HABILIDAD COMERCIAL,CONOCIMIENTOS (ASESOR VENTA Y SERVICIO UNIDAD MERCADO MASIVO (CAV)),ASESOR
"De ser necesario, el asesor realiza mínimo una pregunta abierta adicional , para entender mejor el problema del cliente y así lograr un mayor entendimiento de la situación.",OBS_00041,SERVICIO AL CLIENTE,CONOCIMIENTOS (ASESOR VENTA Y SERVICIO UNIDAD MERCADO MASIVO (CAV)),ASESOR
Define planes de acción a partir de la información analizada que permitan generar eficiencias y/o impulsar los resultados.,OBS_00042,EXCELENCIA,CONOCIMIENTOS (ESPECIALISTA COMERCIAL),ESPECIALISTA
Desarrolla seguimiento del 100% de la operación y al Aliado a cargo en conjunto con los supervisores.,OBS_00043,COLABORACIÓN,CONOCIMIENTOS (ESPECIALISTA COMERCIAL),ESPECIALISTA
"Desarrolla un plan estructurado para segmentar el mercado, identificando los prospectos de mayor potencial.  Para que el comportamiento sea aceptado, mínimo el plan debe tener: 1) Análisis de datos y demográficos, y  2) Identificación de necesidades previas del cliente 3) madurez tecnológica del cliente.",OBS_00044,PENSAMIENTO ESTRATÉGICO,CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS),CONSULTOR
"Después de 3 meses de inactividad de un cliente, les contacta proactivamente, muestra empatía y ofrece soluciones personalizadas que faciliten su reactivación y así mitigar el riesgo de modificación o cese del servicio.
",,,,
""",""OBS_00045""",SERVICIO AL CLIENTE,CONOCIMIENTOS (CUIDADO AL CLIENTE),CUIDADO AL CLIENTE,
Diariamente  realiza acompañamiento estratégico en sitio para garantizar el cumplimiento de indicadores clave.,OBS_00046,APORTE DE VALOR,CONOCIMIENTOS (ESPECIALISTA COMERCIAL),ESPECIALISTA
Diariamente revisa los indicadores del día anterior para tener claridad sobre el desempeño del equipo y establece mínimo una acción necesaria para enfoque efectivo del trabajo.,OBS_00047,EXCELENCIA,CONOCIMIENTOS (ESPECIALISTA COMERCIAL),ESPECIALISTA
"Diseña su plan de actividades utilizando aplicaciones de gestión de tareas o calendarios digitales, como ToDo, Gantt de trabajo, Project, O LOS PROGRAMAS QUE OFRECE LA SUITE DE  Microsoft Office.",OBS_00048,HABILIDADES DIGITALES,"CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS (EMPRESAS, NEGOCIOS))",CONSULTOR
"Diseña su plan de actividades utilizando aplicaciones de gestión de tareas o calendarios digitales, como ToDo, Project, Planner etc.",OBS_00048,HABILIDADES DIGITALES,"CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS (EMPRESAS, NEGOCIOS))",CONSULTOR
Documenta el 100% de las incidencias y fallas operativas para proponer soluciones concretas.,OBS_00049,EXCELENCIA,CONOCIMIENTOS (ESPECIALISTA COMERCIAL),ESPECIALISTA
"Domina y tiene a la mano las herramientas y portafolio de servicios y retención, en caso de requerir compensaciones o elementos adicional que mitiguen la insatisfacción del cliente. 
",,,,
""",""OBS_00050""",GESTIÓN Y ORGANIZACIÓN,"CONOCIMIENTOS ASESOR SERVICIO UNIDAD MERCADO MASIVO (CALL, CAV)",ASESOR,
"Durante interacciones complejas o tensas, el consultor usa un tono calmado y profesional, explica cada paso del proceso con claridad y verifica que tanto el cliente como el equipo de soporte entiendan las acciones a seguir.
",,,,
""",""OBS_00051""",GESTIÓN DE EMOCIONES,CONOCIMIENTOS (CUIDADO AL CLIENTE),CUIDADO AL CLIENTE,
"Durante la explicación de las nuevas ofertas, campañas vigentes, indaga, minimo 1 pregunta sobre las posibles objeciones que puede presentar el cliente y/o resuelve dudas de las campañas, ofertas, etc.",OBS_00052,HABILIDAD COMERCIAL,"CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK,COMERCIAL))",ASESOR
"Durante la explicación de las nuevas ofertas, campañas vigentes, indaga, mínimo 1 pregunta sobre las posibles objeciones que puede presentar el cliente y/o resuelve dudas de las campañas, ofertas, etc.",OBS_00052,HABILIDAD COMERCIAL,"CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK,COMERCIAL))",ASESOR
"Durante las conversaciones, el consultor mantiene contacto visual (en visitas presenciales), repite o parafrasea las inquietudes del cliente para confirmar su comprensión, y responde con soluciones alineadas a lo expresado.",OBS_00053,SERVICIO AL CLIENTE,CONOCIMIENTOS (CUIDADO AL CLIENTE),CUIDADO AL CLIENTE
"Durante una interacción desafiante, como una queja del cliente o un conflicto interno, el consultor controla su tono de voz, lenguaje corporal y respuestas emocionales, mostrando empatía y buscando resolver el problema sin dejarse llevar por el estrés o la frustración.
",,,,
""",""OBS_00054""",GESTIÓN DE EMOCIONES,CONOCIMIENTOS (CUIDADO AL CLIENTE),CUIDADO AL CLIENTE,
"Ejecuta el protocolo de abordaje según la operación que se encuentre al asesor, cuidando apariencia personal, lenguaje verbal y no verbal",OBS_00055,HABILIDAD COMERCIAL,"CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK,COMERCIAL))",ASESOR
"Ejecuta el protocolo de abordaje según la operación que se encuentre el asesor, cuidando apariencia personal, lenguaje verbal y no verbal",OBS_00055,HABILIDAD COMERCIAL,"CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK,COMERCIAL))",ASESOR
"El asesor a través de una comunicación paciente y pausada, informa al comercial sobre el tramite realizado y paso futuros con el cliente final, fomentando el conocimiento integral de la venta.
",,,,
""",""OBS_00056""",GESTIÓN DE EMOCIONES,CONOCIMIENTOS (ASESOR BACKOFFICE (CGV)),ASESOR,
"El asesor administra un correcto balance entre el tiempo de indagación y orientación versus la dedicación de cada caso, no superando la política de tiempo sugerida por su BPO o compañía.",OBS_00057,GESTIÓN Y ORGANIZACIÓN,CONOCIMIENTOS (ASESOR BACKOFFICE (CGV)),ASESOR
"El asesor al finalizar la atención confirma con el cliente si la atención brindada a cubierto el motivo del contacto, o si hay algo más que podría hacer o gestionar por él. También lo invita a realizar la encuesta de servicio",OBS_00058,HABILIDAD COMERCIAL,CONOCIMIENTOS (ASESOR VENTA Y SERVICIO UNIDAD MERCADO MASIVO (CAV)),ASESOR
"El asesor ante dudas o negaciones del cliente versus la información suministrada, es capaz de gestionar objeciones de manera efectiva, formulando mínimo una pregunta para identificar y resolver cualquier inconformidad y poder avanzar con el proceso.
",,,,
""",""OBS_00059""",ADAPTABILIDAD,CONOCIMIENTOS (ASESOR BACKOFFICE (CGV)),ASESOR,
"El asesor antes de formalizar la solicitud, realiza un control de toda la información necesaria a ingresar en sistemas, mitigando errores futuros en el proceso.",OBS_00060,ADAPTABILIDAD,CONOCIMIENTOS (ASESOR BACKOFFICE (CGV)),ASESOR
"El asesor articula los conceptos, tarifas comerciales y resultados de validación del cliente brindados por los aplicativos, asegurando que la oferta que indica el asesor de venta cumpla con las condiciones de la política, en caso contrario informa y guía al asesor de ventas.",OBS_00061,ADAPTABILIDAD,CONOCIMIENTOS (ASESOR BACKOFFICE (CGV)),ASESOR
"El asesor asegura en las herramientas el 100% de los registros, tipificaciones y escalamientos a través de los debidos procesos establecidos en la organización.",OBS_00062,HABILIDADES DIGITALES,CONOCIMIENTOS (ASESOR VENTA Y SERVICIO UNIDAD MERCADO MASIVO (CAV)),ASESOR
"El asesor asegura que el cliente reciba información correcta y exacta sobre el producto que va a adquirir, realiza un resumen detallado de los servicios a contratar junto con las condiciones comerciales y los datos personales del cliente, y proceder con el proceso de digitación ante la aceptación del cliente.",OBS_00063,GESTIÓN Y ORGANIZACIÓN,CONOCIMIENTOS (ASESOR BACKOFFICE (CGV)),ASESOR
"El asesor compara diferentes productos, destacando las características clave y beneficios de cada uno en contextos relacionados al cliente o casos aplicados, facilitando el entendimiento del beneficio y utilidad.",OBS_00064,HABILIDAD COMERCIAL,"CONOCIMIENTOS ASESOR SERVICIO UNIDAD MERCADO MASIVO (CALL, CAV)",ASESOR
"El asesor comunica al cliente cada paso que va realizando en la atención, brindándole información de que tratamiento se esta haciendo y demostrando su celeridad en la gestión.",OBS_00065,SERVICIO AL CLIENTE,"CONOCIMIENTOS ASESOR SERVICIO UNIDAD MERCADO MASIVO (CALL, CAV)",ASESOR
"El asesor comunica al cliente cada paso que va realizando en la atención, brindándole información de que tratamiento se está haciendo y demostrando su celeridad en la gestión.",OBS_00065,SERVICIO AL CLIENTE,"CONOCIMIENTOS ASESOR SERVICIO UNIDAD MERCADO MASIVO (CALL, CAV)",ASESOR
"El asesor comunica de manera transparente los alcances y limitaciones del servicio que puede ofrecer, orientando al cliente hacia una solución viable y ganando así su confianza.",OBS_00066,GESTIÓN DE EMOCIONES,"CONOCIMIENTOS ASESOR SERVICIO UNIDAD MERCADO MASIVO (CALL, CAV)",ASESOR
"El asesor comunica en la atención mínimo una vez,  el tratamiento y solución que puede ofrecer, orientando al cliente y ganando así su confianza.",OBS_00067,GESTIÓN DE EMOCIONES,CONOCIMIENTOS (ASESOR VENTA Y SERVICIO UNIDAD MERCADO MASIVO (CAV)),ASESOR
"El asesor confirma con el cliente si la atención brindada a cubierto el motivo del contacto, o si hay algo más que podría hacer o gestionar por él. También lo invita a realizar la encuesta de servicio.",OBS_00068,HABILIDAD COMERCIAL,"CONOCIMIENTOS ASESOR SERVICIO UNIDAD MERCADO MASIVO (CALL, CAV)",ASESOR
"El asesor conoce y aplica las políticas de contacto, monitoreando el tiempo de atención y ausentismos, balanceando excepciones a aplicar basado en la casuística.",OBS_00069,GESTIÓN Y ORGANIZACIÓN,"CONOCIMIENTOS ASESOR SERVICIO UNIDAD MERCADO MASIVO (CALL, CAV)",ASESOR
El asesor conoce y domina  el  proceso de ingreso a aplicativos para empezar a operar.,OBS_00070,HABILIDADES DIGITALES,"CONOCIMIENTOS ASESOR SERVICIO UNIDAD MERCADO MASIVO (CALL, CAV)",ASESOR
El asesor conoce y domina cada paso del proceso de ingreso a aplicativos.,OBS_00070,HABILIDADES DIGITALES,"CONOCIMIENTOS ASESOR SERVICIO UNIDAD MERCADO MASIVO (CALL, CAV)",ASESOR
El asesor conoce y domina la el  proceso de ingreso a aplicativos para empezar a operar.,OBS_00070,HABILIDADES DIGITALES,"CONOCIMIENTOS ASESOR SERVICIO UNIDAD MERCADO MASIVO (CALL, CAV)",ASESOR
El asesor conoce y domina la totalidad del proceso de ingreso a aplicativos.,OBS_00070,HABILIDADES DIGITALES,"CONOCIMIENTOS ASESOR SERVICIO UNIDAD MERCADO MASIVO (CALL, CAV)",ASESOR
"El asesor conscientemente transmite sensación de comodidad y respeto con el cliente, asegurando una  distancia adecuada y dando respuestas asertivas a través de su  lenguaje verba y no verbal, manteniendo siempre posturas y  tonos de voz que reflejen accesibilidad.
",,,,
""",""OBS_00071""",SERVICIO AL CLIENTE,"CONOCIMIENTOS ASESOR SERVICIO UNIDAD MERCADO MASIVO (CALL, CAV)",ASESOR,
"El asesor cumple las políticas de contacto, monitoreando el tiempo de atención y ausentismos.",OBS_00072,GESTIÓN Y ORGANIZACIÓN,CONOCIMIENTOS (ASESOR VENTA Y SERVICIO UNIDAD MERCADO MASIVO (CAV)),ASESOR
"El asesor demuestra un tono amable y de apertura al comercial, manteniendo una comunicación respetuosa, lenguaje no verbal o tonos de voz que evidencien apoyo. 
",,,,
""",""OBS_00073""",SERVICIO AL CLIENTE,CONOCIMIENTOS (ASESOR BACKOFFICE (CGV)),ASESOR,
"El asesor domina el 100% de las herramientas y portafolio de servicios y retención, en caso de requerir modificaciones o adiciones en los servicios del cliente.",OBS_00074,GESTIÓN Y ORGANIZACIÓN,CONOCIMIENTOS (ASESOR VENTA Y SERVICIO UNIDAD MERCADO MASIVO (CAV)),ASESOR
"El asesor domina el 100% los pasos y lineamientos de cada transacción posventa y su ejecución en los sistemas de información, logrando ejecutar órdenes y transacciones oportunas.",OBS_00075,HABILIDADES DIGITALES,CONOCIMIENTOS (ASESOR VENTA Y SERVICIO UNIDAD MERCADO MASIVO (CAV)),ASESOR
"El asesor domina y conoce los pasos y lineamientos de cada transacción posventa y su ejecución en los sistemas de información, logrando ejecutar ordenes y transacciones oportunas.
",,,,
""",""OBS_00076""",HABILIDADES DIGITALES,"CONOCIMIENTOS ASESOR SERVICIO UNIDAD MERCADO MASIVO (CALL, CAV)",ASESOR,
"El asesor domina y conoces los pasos y lineamientos de cada oferta y su ejecución en los sistemas de información, logrando activaciones exitosas.
",,,,
